C:\Users\nagak\AppData\Local\Temp\RenderDoc\sample_app_2026.04.18_05.06.10_frame237.rdc - Frame #237

 EID  | Event                                                             | Action # | Duration (Microseconds)
6891  |   - DrawIndexedInstanced(240, 1)                                  | 153    | 4.448
6901  |   - DrawIndexedInstanced(2856, 1)                                 | 154    | 3.52
6911  |   - DrawIndexedInstanced(780, 1)                                  | 155    | 3.104
6921  |   - DrawIndexedInstanced(228, 1)                                  | 156    | 2.624
6931  |   - DrawIndexedInstanced(240, 1)                                  | 157    | 3.04
6941  |   - DrawIndexedInstanced(2856, 1)                                 | 158    | 3.456
6951  |   - DrawIndexedInstanced(780, 1)                                  | 159    | 3.136
6961  |   - DrawIndexedInstanced(228, 1)                                  | 160    | 2.688
6971  |   - DrawIndexedInstanced(240, 1)                                  | 161    | 2.752
6981  |   - DrawIndexedInstanced(2856, 1)                                 | 162    | 2.976
6991  |   - DrawIndexedInstanced(780, 1)                                  | 163    | 2.144
7001  |   - DrawIndexedInstanced(228, 1)                                  | 164    | 2.688
7011  |   - DrawIndexedInstanced(240, 1)                                  | 165    | 2.624
7021  |   - DrawIndexedInstanced(2856, 1)                                 | 166    | 3.808
7031  |   - DrawIndexedInstanced(780, 1)                                  | 167    | 3.232
7041  |   - DrawIndexedInstanced(228, 1)                                  | 168    | 2.656
7051  |   - DrawIndexedInstanced(240, 1)                                  | 169    | 3.424
7061  |   - DrawIndexedInstanced(2856, 1)                                 | 170    | 3.456
7071  |   - DrawIndexedInstanced(780, 1)                                  | 171    | 2.848
7081  |   - DrawIndexedInstanced(228, 1)                                  | 172    | 2.88
7091  |   - DrawIndexedInstanced(240, 1)                                  | 173    | 2.912
7101  |   - DrawIndexedInstanced(2856, 1)                                 | 174    | 1.568
7111  |   - DrawIndexedInstanced(780, 1)                                  | 175    | 2.528
7121  |   - DrawIndexedInstanced(228, 1)                                  | 176    | 2.592
7131  |   - DrawIndexedInstanced(240, 1)                                  | 177    | 2.432
7141  |   - DrawIndexedInstanced(2856, 1)                                 | 178    | 2.08
7151  |   - DrawIndexedInstanced(780, 1)                                  | 179    | 2.592
7161  |   - DrawIndexedInstanced(228, 1)                                  | 180    | 2.912
7171  |   - DrawIndexedInstanced(240, 1)                                  | 181    | 2.784
7181  |   - DrawIndexedInstanced(2856, 1)                                 | 182    | 1.888
7191  |   - DrawIndexedInstanced(780, 1)                                  | 183    | 2.40
7201  |   - DrawIndexedInstanced(228, 1)                                  | 184    | 3.456
7211  |   - DrawIndexedInstanced(240, 1)                                  | 185    | 2.624
7221  |   - DrawIndexedInstanced(2856, 1)                                 | 186    | 1.536
7231  |   - DrawIndexedInstanced(780, 1)                                  | 187    | 2.304
